1:0:d=2026072300:PRMSL:mean sea level:anl:
2:261724:d=2026072300:CLMR:1 hybrid level:anl:
3:299946:d=2026072300:ICMR:1 hybrid level:anl:
4:364192:d=2026072300:RWMR:1 hybrid level:anl:
5:443562:d=2026072300:SNMR:1 hybrid level:anl:
6:472872:d=2026072300:GRLE:1 hybrid level:anl:
7:490617:d=2026072300:REFD:1 hybrid level:anl:
8:737973:d=2026072300:REFD:2 hybrid level:anl:
9:985195:d=2026072300:REFC:entire atmosphere:anl:
509:111723211:d=2026072300:HGT:950 mb:anl:
510:112005880:d=2026072300:TMP:950 mb:anl:
511:112263248:d=2026072300:RH:950 mb:anl:
512:112515629:d=2026072300:TCDC:950 mb:anl:
513:112649173:d=2026072300:SPFH:950 mb:anl:
514:113009843:d=2026072300:VVEL:950 mb:anl:
515:113342991:d=2026072300:DZDT:950 mb:anl:
516:113646120:d=2026072300:UGRD:950 mb:anl:
517:113932158:d=2026072300:VGRD:950 mb:anl:
518:114219939:d=2026072300:ABSV:950 mb:anl:
519:114493501:d=2026072300:CLMR:950 mb:anl:
520:114566732:d=2026072300:ICMR:950 mb:anl:
521:114623008:d=2026072300:RWMR:950 mb:anl:
522:114711520:d=2026072300:SNMR:950 mb:anl:
523:114741415:d=2026072300:GRLE:950 mb:anl:
524:114758899:d=2026072300:O3MR:950 mb:anl:
525:115025520:d=2026072300:HINDEX:surface:anl:
526:115084021:d=2026072300:HGT:975 mb:anl:
527:115361608:d=2026072300:TMP:975 mb:anl:
528:115618428:d=2026072300:RH:975 mb:anl:
529:115866208:d=2026072300:TCDC:975 mb:anl:
530:115975636:d=2026072300:SPFH:975 mb:anl:
531:116333797:d=2026072300:VVEL:975 mb:anl:
532:116648476:d=2026072300:DZDT:975 mb:anl:
533:116933307:d=2026072300:UGRD:975 mb:anl:
534:117220489:d=2026072300:VGRD:975 mb:anl:
535:117507583:d=2026072300:ABSV:975 mb:anl:
536:117778709:d=2026072300:CLMR:975 mb:anl:
537:117832310:d=2026072300:ICMR:975 mb:anl:
538:117874361:d=2026072300:RWMR:975 mb:anl:
539:117955802:d=2026072300:SNMR:975 mb:anl:
540:117976885:d=2026072300:GRLE:975 mb:anl:
541:117990944:d=2026072300:O3MR:975 mb:anl:
542:118254234:d=2026072300:TMP:1000 mb:anl:
543:118511484:d=2026072300:RH:1000 mb:anl:
544:118754739:d=2026072300:TCDC:1000 mb:anl:
545:118819583:d=2026072300:SPFH:1000 mb:anl:
546:119176461:d=2026072300:VVEL:1000 mb:anl:
547:119457969:d=2026072300:DZDT:1000 mb:anl:
548:119708869:d=2026072300:UGRD:1000 mb:anl:
549:119996393:d=2026072300:VGRD:1000 mb:anl:
550:120281706:d=2026072300:ABSV:1000 mb:anl:
551:120548234:d=2026072300:CLMR:1000 mb:anl:
552:120574020:d=2026072300:ICMR:1000 mb:anl:
553:120590618:d=2026072300:RWMR:1000 mb:anl:
554:120655880:d=2026072300:SNMR:1000 mb:anl:
555:120662274:d=2026072300:GRLE:1000 mb:anl:
556:120672874:d=2026072300:O3MR:1000 mb:anl:
557:120935323:d=2026072300:MSLET:mean sea level:anl:
558:121185833:d=2026072300:HGT:1000 mb:anl:
559:121470035:d=2026072300:REFD:4000 m above ground:anl:
560:121566768:d=2026072300:REFD:1000 m above ground:anl:
561:121803190:d=2026072300:PRES:surface:anl:
562:122057112:d=2026072300:HGT:surface:anl:
563:122205557:d=2026072300:TMP:surface:anl:
564:122374054:d=2026072300:TSOIL:0-0.1 m below ground:anl:
565:122489050:d=2026072300:SOILW:0-0.1 m below ground:anl:
566:122583467:d=2026072300:SOILL:0-0.1 m below ground:anl:
567:122678130:d=2026072300:TSOIL:0.1-0.4 m below ground:anl:
568:122790361:d=2026072300:SOILW:0.1-0.4 m below ground:anl:
569:122885999:d=2026072300:SOILL:0.1-0.4 m below ground:anl:
570:122981645:d=2026072300:TSOIL:0.4-1 m below ground:anl:
571:123123887:d=2026072300:SOILW:0.4-1 m below ground:anl:
572:123220903:d=2026072300:SOILL:0.4-1 m below ground:anl:
573:123317490:d=2026072300:TSOIL:1-2 m below ground:anl:
574:123459309:d=2026072300:SOILW:1-2 m below ground:anl:
575:123554139:d=2026072300:SOILL:1-2 m below ground:anl:
576:123648678:d=2026072300:CNWAT:surface:anl:
577:123727533:d=2026072300:WEASD:surface:anl:
578:123827512:d=2026072300:SNOD:surface:anl:
579:123931906:d=2026072300:ICETK:surface:anl:
580:123959757:d=2026072300:TMP:2 m above ground:anl:
581:124119263:d=2026072300:SPFH:2 m above ground:anl:
582:124468534:d=2026072300:DPT:2 m above ground:anl:
583:124635690:d=2026072300:RH:2 m above ground:anl:
584:124874607:d=2026072300:APTMP:2 m above ground:anl:
585:125049024:d=2026072300:UGRD:10 m above ground:anl:
586:125335857:d=2026072300:VGRD:10 m above ground:anl:
587:125618997:d=2026072300:ICEG:10 m above mean sea level:anl:
588:125624579:d=2026072300:CPOFP:surface:anl:
589:125802960:d=2026072300:PRATE:surface:anl:
590:125982202:d=2026072300:CSNOW:surface:anl:
591:125991901:d=2026072300:CICEP:surface:anl:
592:125992129:d=2026072300:CFRZR:surface:anl:
593:125992688:d=2026072300:CRAIN:surface:anl:
594:126028780:d=2026072300:SFCR:surface:anl:
595:126180668:d=2026072300:FRICV:surface:anl:
596:126449222:d=2026072300:VEG:surface:anl:
597:126544589:d=2026072300:SOTYP:surface:anl:
598:126637472:d=2026072300:WILT:surface:anl:
599:126738351:d=2026072300:FLDCP:surface:anl:
600:126841428:d=2026072300:SUNSD:surface:anl:
601:126948702:d=2026072300:LFTX:surface:anl:
602:127121439:d=2026072300:CAPE:surface:anl:
603:127298720:d=2026072300:CIN:surface:anl:
604:127404883:d=2026072300:PWAT:entire atmosphere (considered as a single layer):anl:
605:127762158:d=2026072300:CWAT:entire atmosphere (considered as a single layer):anl:
606:127894136:d=2026072300:RH:entire atmosphere (considered as a single layer):anl:
607:128092055:d=2026072300:TOZNE:entire atmosphere (considered as a single layer):anl:
608:128283604:d=2026072300:LCDC:low cloud layer:anl:
609:128520470:d=2026072300:MCDC:middle cloud layer:anl:
610:128702639:d=2026072300:HCDC:high cloud layer:anl:
611:128914225:d=2026072300:TCDC:entire atmosphere:anl:
612:129163671:d=2026072300:HGT:cloud ceiling:anl:
613:129532017:d=2026072300:HLCY:3000-0 m above ground:anl:
614:129746519:d=2026072300:USTM:6000-0 m above ground:anl:
615:130041465:d=2026072300:VSTM:6000-0 m above ground:anl:
616:130334292:d=2026072300:PRES:tropopause:anl:
617:130729434:d=2026072300:ICAHT:tropopause:anl:
618:131110826:d=2026072300:HGT:tropopause:anl:
619:131490026:d=2026072300:TMP:tropopause:anl:
620:131778397:d=2026072300:UGRD:tropopause:anl:
621:131995250:d=2026072300:VGRD:tropopause:anl:
622:132209005:d=2026072300:VWSH:tropopause:anl:
623:132376126:d=2026072300:PRES:max wind:anl:
624:132821797:d=2026072300:ICAHT:max wind:anl:
625:133275424:d=2026072300:HGT:max wind:anl:
626:133735390:d=2026072300:UGRD:max wind:anl:
627:133952149:d=2026072300:VGRD:max wind:anl:
628:134180233:d=2026072300:TMP:max wind:anl:
629:134539561:d=2026072300:UGRD:20 m above ground:anl:
630:134826478:d=2026072300:VGRD:20 m above ground:anl:
631:135110319:d=2026072300:UGRD:30 m above ground:anl:
632:135399931:d=2026072300:VGRD:30 m above ground:anl:
633:135686176:d=2026072300:UGRD:40 m above ground:anl:
634:135976233:d=2026072300:VGRD:40 m above ground:anl:
635:136263458:d=2026072300:UGRD:50 m above ground:anl:
636:136554082:d=2026072300:VGRD:50 m above ground:anl:
637:136842191:d=2026072300:TMP:80 m above ground:anl:
638:137100299:d=2026072300:SPFH:80 m above ground:anl:
639:137447890:d=2026072300:PRES:80 m above ground:anl:
640:137700549:d=2026072300:UGRD:80 m above ground:anl:
641:137991884:d=2026072300:VGRD:80 m above ground:anl:
642:138281352:d=2026072300:TMP:100 m above ground:anl:
643:138539114:d=2026072300:UGRD:100 m above ground:anl:
644:138830540:d=2026072300:VGRD:100 m above ground:anl:
645:139120535:d=2026072300:TMP:1829 m above mean sea level:anl:
646:139384992:d=2026072300:UGRD:1829 m above mean sea level:anl:
647:139684571:d=2026072300:VGRD:1829 m above mean sea level:anl:
648:139987684:d=2026072300:TMP:2743 m above mean sea level:anl:
649:140249648:d=2026072300:UGRD:2743 m above mean sea level:anl:
650:140554361:d=2026072300:VGRD:2743 m above mean sea level:anl:
651:140861906:d=2026072300:TMP:3658 m above mean sea level:anl:
652:141122583:d=2026072300:UGRD:3658 m above mean sea level:anl:
653:141430427:d=2026072300:VGRD:3658 m above mean sea level:anl:
654:141740625:d=2026072300:HGT:0C isotherm:anl:
655:142036350:d=2026072300:RH:0C isotherm:anl:
656:142295470:d=2026072300:HGT:highest tropospheric freezing level:anl:
657:142587027:d=2026072300:RH:highest tropospheric freezing level:anl:
658:142844841:d=2026072300:TMP:30-0 mb above ground:anl:
659:143100950:d=2026072300:RH:30-0 mb above ground:anl:
660:143342164:d=2026072300:SPFH:30-0 mb above ground:anl:
661:143689482:d=2026072300:UGRD:30-0 mb above ground:anl:
662:143978362:d=2026072300:VGRD:30-0 mb above ground:anl:
663:144266433:d=2026072300:4LFTX:surface:anl:
664:144432829:d=2026072300:CAPE:180-0 mb above ground:anl:
665:144603155:d=2026072300:CIN:180-0 mb above ground:anl:
666:144728006:d=2026072300:HPBL:surface:anl:
667:145137906:d=2026072300:RH:0.33-1 sigma layer:anl:
668:145368892:d=2026072300:RH:0.44-1 sigma layer:anl:
669:145595701:d=2026072300:RH:0.72-0.94 sigma layer:anl:
670:145837489:d=2026072300:RH:0.44-0.72 sigma layer:anl:
671:146075339:d=2026072300:TMP:0.995 sigma level:anl:
672:146233581:d=2026072300:POT:0.995 sigma level:anl:
673:146493411:d=2026072300:RH:0.995 sigma level:anl:
674:146736176:d=2026072300:UGRD:0.995 sigma level:anl:
675:147029515:d=2026072300:VGRD:0.995 sigma level:anl:
676:147319344:d=2026072300:VVEL:0.995 sigma level:anl:
677:147591366:d=2026072300:CAPE:90-0 mb above ground:anl:
678:147747567:d=2026072300:CIN:90-0 mb above ground:anl:
679:147865752:d=2026072300:CAPE:255-0 mb above ground:anl:
680:148035856:d=2026072300:CIN:255-0 mb above ground:anl:
681:148142334:d=2026072300:PLPL:255-0 mb above ground:anl:
682:148420534:d=2026072300:LAND:surface:anl:
683:148432998:d=2026072300:ICEC:surface:anl:
684:148467568:d=2026072300:ICETMP:surface:anl:
685:148500755:d=2026072300:UGRD:PV=2e-06 (Km^2/kg/s) surface:anl:
686:148680472:d=2026072300:VGRD:PV=2e-06 (Km^2/kg/s) surface:anl:
687:148854919:d=2026072300:TMP:PV=2e-06 (Km^2/kg/s) surface:anl:
688:149031124:d=2026072300:HGT:PV=2e-06 (Km^2/kg/s) surface:anl:
689:149334937:d=2026072300:PRES:PV=2e-06 (Km^2/kg/s) surface:anl:
690:149627398:d=2026072300:VWSH:PV=2e-06 (Km^2/kg/s) surface:anl:
691:149761472:d=2026072300:UGRD:PV=-2e-06 (Km^2/kg/s) surface:anl:
692:149937370:d=2026072300:VGRD:PV=-2e-06 (Km^2/kg/s) surface:anl:
693:150110065:d=2026072300:TMP:PV=-2e-06 (Km^2/kg/s) surface:anl:
694:150281588:d=2026072300:HGT:PV=-2e-06 (Km^2/kg/s) surface:anl:
695:150578964:d=2026072300:PRES:PV=-2e-06 (Km^2/kg/s) surface:anl:
696:150868153:d=2026072300:VWSH:PV=-2e-06 (Km^2/kg/s) surface:anl:
